Dataset;Trigger;CandidatePool;CandidateNumber;DiscoveryRank;Split;Offset;Occurrences;Appearances;RatePct;GeneralRatePct;LiftPctPoints
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;DISCOVERY;2;195;23;11.794872;7.347741;4.447131
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;DISCOVERY;3;195;16;8.205128;7.347741;0.857388
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;DISCOVERY;4;195;11;5.641026;7.347741;-1.706715
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;DISCOVERY;5;195;11;5.641026;7.347741;-1.706715
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;DISCOVERY;6;195;15;7.692308;7.347741;0.344567
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;DISCOVERY;7;195;15;7.692308;7.347741;0.344567
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;DISCOVERY;8;195;14;7.179487;7.347741;-0.168253
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;DISCOVERY;9;195;22;11.282051;7.347741;3.934311
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;63;3;DISCOVERY;1;195;19;9.74359;7.151277;2.592313
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;63;3;DISCOVERY;2;195;12;6.153846;7.151277;-0.997431
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;63;3;DISCOVERY;3;195;10;5.128205;7.151277;-2.023072
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;63;3;DISCOVERY;4;195;14;7.179487;7.151277;0.02821
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;63;3;DISCOVERY;5;195;18;9.230769;7.151277;2.079492
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;63;3;DISCOVERY;6;195;19;9.74359;7.151277;2.592313
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;63;3;DISCOVERY;7;195;18;9.230769;7.151277;2.079492
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;63;3;DISCOVERY;8;195;20;10.25641;7.151277;3.105133
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;63;3;DISCOVERY;9;195;12;6.153846;7.151277;-0.997431
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;75;2;DISCOVERY;1;195;15;7.692308;7.111984;0.580323
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;75;2;DISCOVERY;2;195;15;7.692308;7.111984;0.580323
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;75;2;DISCOVERY;3;195;9;4.615385;7.111984;-2.4966
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;75;2;DISCOVERY;4;195;22;11.282051;7.111984;4.170067
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;75;2;DISCOVERY;5;195;16;8.205128;7.111984;1.093144
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;75;2;DISCOVERY;6;195;20;10.25641;7.111984;3.144426
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;75;2;DISCOVERY;7;195;16;8.205128;7.111984;1.093144
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;75;2;DISCOVERY;8;195;15;7.692308;7.111984;0.580323
